Japanese,English
行く,go
見る,look
多い,many
家,House
これ,this
それ,that
私,I
仕事,work
いつ,when
する,do
出る,Come out
使う,use
所,Place
作る,make
思う,think
持つ,Hold
買う,buy
時間,time
知る,know
同じ,same
今,now
新しい,new
なる,Become
まだ,still
あと,After
聞く,listen
言う,To tell
少ない,few
高い,expensive
子供,child
そう,yes
もう,already
学生,student
熱い,hot
どうぞ,please
午後,afternoon
長い,long
本,Book
今年,this year
よく,often
彼女,she
どう,copper
言葉,words
顔,face
終わる,End
一つ,one
あげる,give
こう,like this
学校,school
くれる,Give
始める,start
起きる,get up
春,spring
午前,morning
別,another
どこ,where
部屋,room
若い,young
車,car
置く,put
住む,live
働く,work
難しい,difficult
先生,teacher
立つ,stand
呼ぶ,Call
大学,University
安い,cheap
もっと,more
帰る,Return home
分かる,Understand
広い,wide
数,number
近い,close
そこ,There
走る,Run
入れる,put in
教える,teach
歩く,walk
会う,meet
書く,write
頭,Head
売る,sell
大好き,really like
体,body
直ぐ,immediately
飛ぶ,jump
とても,very
誰,Who
好き,like
読む,read
次,Next
あなた,you
飲む,drink
古い,old
質問,question
今日,today
友達,friend
早い,early
どれ,which one
美しい,beautiful
いつも,everytime
足,feet
起こす,Wake up
見せる,show
娘,daughter
楽しむ,enjoy
色,color
みんな,everyone
取る,take
勉強,study
できる,can
短い,short
落ちる,drop down
息子,son
白い,white
飛行機,plane
病気,disease
冬,winter
年,Year
重い,heavy
胸,chest
払う,pay
軽い,light
見つける,find
忘れる,forget
酒,Liquor
どちら,Which
姉,sister
覚える,learn by heart
狭い,narrow
赤い,red
着る,wear
笑う,smile
一番,number one
授業,class
週,week
漢字,Chinese characters
自転車,bicycle
電車,train
探す,search
紙,paper
歌う,sing
遅い,slow
首,neck
速い,fast
一緒に,together
今月,this month
遊ぶ,play
遠い,far
弱い,weak
耳,ear
座る,sit
右,right
浴びる,Take a bath
肩,shoulder
寝る,sleep
消す,erase
元気,fine
全部,All
去年,last year
引く,Pull
図書館,library
上げる,increase
緑,green
腕,arm
ドア,door
女の子,girl
男の子,boy
私たち,we
近く,near
やる,do
かなり,pretty
国,Country
起こる,happen
秋,autumn
送る,send
死ぬ,die
気持ち,feeling
乗る,get on
いる,Be
木,wood
開ける,Open
閉める,close
続く,Continue
お医者さん,doctor
円,circle
ここ,here
待つ,wait
低い,low
もらう,get
食べる,eat
兄,older brother
名前,name
夫,husband
一,one
結婚,marriage
親,parent
話す,talk
少し,a bit
閉じる,close
時,Time
米,Rice
切る,Cut off
楽しい,fun
服,clothes
後ろ,behind
嬉しい,happy
腰,Hip
日曜日,Sunday
昼,noon
お母さん,mother
大学生,university student
終わり,end
背,Back
手伝う,help
鼻,nose
起きる,get up
載せる,Put on
悲しい,sad
しゃべる,Chatter
近く,near
甘い,sweet
テーブル,table
食べ物,food
始まる,Start
ゲーム,game
十,Ten
天気,weather
暑い,hot
太い,thick
晩,night
土曜日,Saturday
痛い,it hurts
お父さん,father
多分,perhaps
時計,clock
泊まる,stay
どうして,Why
掛ける,Put on
曲がる,Bend
お腹,stomach
ミーティング,meeting
嫌い,dislike
金曜日,Friday
要る,need
無い,No
風邪,cold
黄色い,yellow
優しい,kind
晴れる,Clear
汚い,dirty
茶色,brown
空く,Be empty
上る,climb
ご飯,cooked rice
日,Day
髪の毛,hair
つける,Put on
月曜日,Monday
入る,enter
カタカナ,Katakana
今週,this week
開く,open
水,water
あれ,that
二,two
締める,Tighten
まずい,Unpalatable
平仮名,hiragana
曇る,Become cloudy
触る,touch
駄目,Useless
飲み物,drink
木曜日,Thursday
曜日,day of week
そば,Soba
こっち,here
火曜日,Tuesday
渇く,Be thirsty
三,three
水曜日,Wednesday
二つ,two
今晩,tonight
千,thousand
六日,Six days
お姉さん,older sister
直る,Fix
ちょっと,a little bit
四,four
これから,from now
考える,think
戻る,return
変える,change
朝,morning
歯,teeth
頑張る,do my best
携帯電話,mobile phone
雨,rain
金,Money
易しい,easy
お兄さん,brother
大きい,big
小さい,small
辛い,hard
八,Eight
あそこ,over there
来る,come
前,Before
五日,Five days
いっぱい,full
酸っぱい,sour
違う,different
細い,thin
三つ,three
八日,The 8th
高校生,high school student
上手,good
強い,strong
七,Seven
二十日,The 20th
左,left
二日,two days
四つ,four
暖かい,warm
ある,be
いい,good
上,Up
駅,station
美味しい,delicious
昨日,yesterday
綺麗,beautiful
五,Five
九つ,nine
お願い,please
答える,answer
先,Precedence
寒い,cold
四,four
三日,three days
下,under
大丈夫,Are you okay
大人,adult
出す,put out
父,father
母,mother
月,Month
妹,younger sister
冷たい,cold
弟,younger brother
手,hand
十日,10 days
口,mouth
夏,summer
七つ,seven
時々,sometimes
何,what
人,Man
一人,One person
一日,one day
九日,The 9th
方,direction
他,other
僕,I
欲しい,want
万,Ten thousand
見える,appear
道,road
五つ,Five
目,eye
八つ,eight
止める,stop
四日,four days
夜,night
来年,next year
六,Six
悪い,bad
お手洗い,Bathroom
ご主人,My master
本当に,Really
自分,myself
ため,For
見つかる,Be found
休む,rest
ゆっくり,slowly
六つ,six
花,flower
動く,Move
線,line
七日,seven days
以外,other than
男,Man
彼,he
女,woman
妻,wife
百,hundred
辺,Side
店,shop
閉まる,Be closed
問題,problem
必要,need
もつ,Mushroom
開く,open
昨年,last year
治る,Heal
ドル,Dollar
システム,system
以上,that's all
最近,recently
世界,world
コンピューター,computer
やる,do
意味,meaning
増える,increase
選ぶ,choose
生活,life
進める,Proceed
続ける,continue
ほとんど,largely
会社,company
家,House
多く,Many
話,Story
上がる,Go up
もう,already
集める,collect
声,voice
初めて,first time
変わる,change
まず,first
社会,society
プログラム,program
力,Power
今回,this time
予定,schedule
まま,Be
テレビ,tv set
減る,decrease
消える,disappear
家族,family
比べる,compare
生まれる,to be born
ただ,just
これら,these
調べる,investigate
事故,accident
電話,phone
外国,foreign country
銀行,Bank
十分,sufficient
あまり,not much
写真,photograph
繰り返す,repeat
種類,kinds
意見,opinion
新聞,newspaper
文章,Sentence
目立つ,stand out
相手,partner
病院,hospital
厚い,thick
忙しい,busy
薄い,thin
川,river
暗い,dark
クラス,class
黒い,black
バス,bus
青い,blue
買い物,shopping
薬,medicine
砂糖,sugar
休み,holiday
郵便局,post office
住所,address
こちら,Here
財布,wallet
パスポート,passport
椅子,Chair
可愛い,cute
お祖父さん,grandfather
切手,stamp
涼しい,cool
いくつ,How many
メニュー,menu
電気,electricity
勝つ,win
負ける,lose
建てる,build
日記,diary
売り切れ,sold out
お巡りさん,policeman
目覚まし時計,Alarm Clock
レシート,receipt
ティッシュ,tissue
歯ブラシ,toothbrush
下りる,Go down
洗う,wash
パート,part
